BatchNum,BatchSize,Strategy,MinConfidence,MaxQuerySize,NumLowConf,QuerySize,NumFinalMasterRecs,TotalNumLabels
1,100000,cluster,0.95,300.0,100000,297,297,2
2,100000,cluster,0.95,300.0,15351,268,83708,4
3,100000,cluster,0.95,300.0,1992,297,178044,6
4,100000,cluster,0.95,300.0,13,13,273231,6
5,100000,cluster,0.95,300.0,2323,300,292488,8
6,100000,cluster,0.95,300.0,84184,300,302919,9
7,100000,cluster,0.95,300.0,3953,300,329102,9
8,100000,cluster,0.95,300.0,368,300,401684,11
9,100000,cluster,0.95,300.0,7649,299,489638,11
10,100000,cluster,0.95,300.0,241,241,490404,11
11,100000,cluster,0.95,300.0,360,173,537927,11
12,100000,cluster,0.95,300.0,863,300,545947,11
13,100000,cluster,0.95,300.0,27,27,550561,11
14,100000,cluster,0.95,300.0,1688,299,600043,13
15,100000,cluster,0.95,300.0,23367,300,634347,13
16,100000,cluster,0.95,300.0,0,0,634347,13
17,100000,cluster,0.95,300.0,0,0,634347,13
18,100000,cluster,0.95,300.0,0,0,634347,13
19,100000,cluster,0.95,300.0,2,2,634347,13
20,100000,cluster,0.95,300.0,0,0,634347,13
21,100000,cluster,0.95,300.0,0,0,634347,13
22,100000,cluster,0.95,300.0,0,0,634347,13
23,100000,cluster,0.95,300.0,0,0,634347,13
24,100000,cluster,0.95,300.0,0,0,634347,13
25,100000,cluster,0.95,300.0,0,0,634347,13
26,100000,cluster,0.95,300.0,0,0,634347,13
27,100000,cluster,0.95,300.0,0,0,634347,13
28,100000,cluster,0.95,300.0,0,0,634347,13
29,100000,cluster,0.95,300.0,0,0,634347,13
30,100000,cluster,0.95,300.0,0,0,634347,13
31,100000,cluster,0.95,300.0,0,0,634347,13
32,100000,cluster,0.95,300.0,0,0,634347,13
33,100000,cluster,0.95,300.0,0,0,634347,13
34,100000,cluster,0.95,300.0,138,67,634847,13
35,100000,cluster,0.95,300.0,3534,298,691001,13
36,100000,cluster,0.95,300.0,308,300,740952,13
37,100000,cluster,0.95,300.0,1386,297,779561,13
38,100000,cluster,0.95,300.0,640,132,799184,13
39,100000,cluster,0.95,300.0,0,0,809109,13
40,100000,cluster,0.95,300.0,69533,300,814658,13
41,100000,cluster,0.95,300.0,0,0,814953,13
42,100000,cluster,0.95,300.0,0,0,814953,13
43,100000,cluster,0.95,300.0,0,0,814953,13
44,100000,cluster,0.95,300.0,0,0,814953,13
45,100000,cluster,0.95,300.0,311,265,831800,14
46,100000,cluster,0.95,300.0,41939,299,866100,14
47,100000,cluster,0.95,300.0,4369,300,889482,14
48,100000,cluster,0.95,300.0,372,191,917085,14
49,100000,cluster,0.95,300.0,667,300,967006,15
